vibration,temperature,load,rpm,pressure,humidity,age_years,flow,wear
1.0783,87.08,0.8419,1947.8,1.7856,40.3,2.656,18.887,36.0383
0.9858,52.81,0.3841,2885.3,4.4963,16.42,3.209,20.616,22.4047
1.8426,48.63,0.387,1424.9,2.2723,21.32,3.2,27.094,71.4499
1.2955,70.43,0.4223,2998.7,2.2892,50.78,3.121,8.877,40.6543
1.0768,56.63,0.4431,2806.4,1.6007,32.31,6.186,23.612,34.156
1.0441,71.16,0.8086,1600.6,2.9845,75.05,1.206,8.323,26.998
0.5703,25.93,0.4993,1519.9,1.0994,20.4,9.365,12.87,16.9297
0.1224,59.4,0.4586,1078.4,4.2849,11.17,2.098,26.807,2.5306
0.4656,59.07,0.709,2814.4,4.7405,94.74,5.328,39.026,12.3976
1.4149,85.25,0.3493,1208.8,4.8777,36.6,7.702,39.978,40.6877
0.4812,22.77,0.2851,819.8,1.6443,53.33,1.656,14.124,14.2362
0.8021,51.7,0.7577,2758.2,4.2054,27.85,4.91,10.121,17.7992
0.1071,64.18,0.8052,2115.9,5.1915,27.75,6.758,23.151,7.7484
1.6771,58.55,0.4371,2278.1,1.1798,44.2,6.604,20.448,63.2051
0.3935,25.19,0.7088,2412.9,1.9668,77.13,10.71,18.28,15.8979
0.6084,61.53,0.2273,893.9,2.3389,13.32,9.42,31.896,18.8529
1.7726,35.55,0.5235,1002.1,3.3099,81.17,1.451,29.839,60.268
1.0686,33.69,0.6624,1899.6,1.8608,94.17,9.999,24.664,36.475
1.7096,81.51,0.4027,910.6,3.6944,57.53,6.598,26.751,59.3889
1.3155,33.85,0.4786,1909.5,2.7198,40.6,8.138,25.365,42.3073
1.5094,51.8,0.6876,2419.9,4.2756,29.88,1.92,28.691,44.6026
0.2738,72.52,0.6719,2246.3,3.6566,25.55,5.664,37.473,8.7599
1.1282,69.51,0.3234,2156.6,4.4315,37.48,8.399,38.133,28.9062
1.0648,58.74,0.7653,902.1,2.2317,82.39,9.569,39.282,32.6859
1.7555,76.49,0.264,1320.6,4.5353,10.28,9.67,35.09,62.2223
0.7864,52.61,0.9758,2774.5,4.6732,76.81,2.606,8.666,17.0039
1.2365,63.43,0.3619,1071.1,4.6098,66.73,9.993,20.809,34.8453
0.2126,77.32,0.4028,1973.1,1.3423,11.62,6.821,32.355,15.2266
0.8365,67.47,0.3602,910.1,5.7308,15.91,8.024,15.302,19.7714
0.7138,64.93,0.9932,2866.2,3.8843,72.48,10.219,26.235,22.6517
0.3854,48.43,0.4293,1177.4,2.3616,67.22,4.866,6.933,12.3692
1.651,59.08,0.6842,1702.0,3.1707,36.65,11.036,12.127,61.0344
0.8209,47.73,0.9925,2002.9,3.588,83.21,10.575,19.008,23.8164
1.9596,72.1,0.9601,2381.0,3.5888,27.86,9.693,7.457,81.0646
1.221,46.63,0.2339,2862.4,2.2398,46.29,4.559,19.851,37.5468
1.2496,52.66,0.6169,2420.0,2.3248,19.78,6.338,13.054,43.8686
1.3122,72.88,0.681,1564.2,2.8179,64.88,2.077,35.162,39.57
1.3853,55.26,0.7619,965.7,4.9046,17.4,9.112,16.158,39.804
0.3865,43.66,0.4687,2356.3,3.1872,25.26,10.691,18.325,12.1452
0.9366,77.88,0.4623,2939.5,1.1932,75.14,1.93,33.071,26.1378
0.5552,46.67,0.2034,837.4,3.261,52.52,8.937,24.588,14.7813
0.8647,79.13,0.2282,2504.3,2.0068,66.26,8.33,6.753,26.3184
0.2837,74.97,0.64,1187.5,1.0621,72.39,0.438,12.615,9.4886
1.9389,51.31,0.2607,1811.9,5.8852,61.56,11.003,26.381,78.1194
0.5085,69.9,0.362,1949.8,2.4686,26.81,5.75,11.978,18.3665
1.3764,22.41,0.4666,2151.7,3.6875,69.37,3.23,13.691,36.6222
0.6708,47.29,0.2564,2977.0,2.791,19.85,0.362,26.803,14.2231
1.7607,80.22,0.2247,2312.3,1.267,32.93,9.382,22.31,70.1405
1.3582,60.57,0.9415,1663.3,5.5044,48.09,4.054,14.419,39.9907
0.3501,59.05,0.5482,2373.0,5.6783,19.73,6.162,24.572,10.2768
1.7056,66.53,0.3639,1826.8,1.9322,19.01,2.337,27.181,62.2161
1.8954,67.44,0.7668,1708.9,3.09,65.44,7.284,6.378,77.191
1.8174,60.85,0.2076,1604.4,2.8682,73.07,4.767,14.585,67.8362
1.1825,49.44,0.396,1885.5,1.8361,41.51,9.679,15.77,39.0146
0.3764,32.84,0.9686,1418.6,4.3083,43.14,7.996,35.755,9.9609
0.4657,40.48,0.9182,1332.6,4.91,27.65,8.661,6.796,10.5348
1.863,40.5,0.7087,1126.6,4.7985,54.34,3.014,17.15,65.0222
1.1494,50.15,0.2746,1768.5,4.3763,59.33,0.766,11.809,23.7989
0.443,89.93,0.4544,1445.2,1.0875,89.36,10.56,29.33,20.2582
1.7797,44.68,0.2223,2641.3,2.148,13.45,11.228,33.393,71.0736
1.319,51.32,0.3754,2665.4,3.573,87.24,7.722,7.01,38.6789
1.1824,46.01,0.2203,1556.5,4.5142,94.21,11.061,35.216,29.8693
0.8149,60.7,0.3009,2162.1,2.9321,39.43,8.476,29.359,21.822
0.8808,86.35,0.7066,2785.0,3.2463,71.69,7.27,12.594,26.0802
0.555,82.24,0.2804,1590.2,5.2036,80.11,5.029,37.054,9.9642
0.1723,46.4,0.3246,2020.4,1.1177,65.35,4.267,15.256,11.1294
1.7648,38.68,0.9222,1775.8,2.3429,34.56,5.876,32.596,65.7167
0.9887,81.91,0.4684,2230.6,2.4497,62.95,2.669,7.624,27.8322
1.1405,54.57,0.4664,2911.5,5.9639,84.54,5.132,20.962,31.9872
0.7121,67.99,0.2692,1105.0,2.1377,19.1,6.092,22.701,20.1387
1.5275,25.13,0.8367,2923.8,1.2356,50.8,0.375,36.38,49.3515
0.1479,80.66,0.7411,2264.6,3.0823,11.92,4.723,34.278,13.6899
0.8072,41.91,0.6377,2550.9,4.2476,81.82,3.413,24.123,15.1469
0.1577,54.62,0.6943,2197.3,1.7671,76.17,7.61,6.804,13.2654
0.3335,33.86,0.2803,2714.7,5.1985,13.91,9.741,20.049,6.4059
1.9376,49.42,0.4082,1517.7,1.9823,73.39,7.373,18.135,79.6036
1.3497,77.96,0.6669,2357.7,4.5214,68.78,7.967,39.842,42.8048
0.9136,77.93,0.9618,1381.0,1.809,20.73,7.367,28.825,31.8157
1.0951,53.16,0.8537,1919.0,5.4086,54.64,3.075,19.177,27.0229
1.7583,73.75,0.7126,2299.3,2.0066,68.6,4.516,17.769,68.3494
0.754,52.06,0.6151,1242.5,4.6568,38.52,10.13,31.865,15.6397
1.2216,46.13,0.2121,934.6,5.1935,52.83,11.352,8.352,31.1947
1.399,58.21,0.9126,2540.1,2.2747,92.95,2.174,33.596,47.8229
0.7753,34.09,0.2535,2579.7,1.4641,64.03,0.127,28.482,15.0217
1.0863,42.16,0.3033,2264.5,3.9307,52.67,11.538,20.235,28.5913
1.554,69.46,0.7545,1507.1,3.4951,15.61,10.315,29.862,54.6436
1.8274,73.94,0.8497,2248.0,3.3966,20.3,7.291,18.924,71.7036
0.387,23.97,0.8292,984.5,4.9067,82.32,9.803,10.011,8.1355
1.8735,71.3,0.5619,2257.5,3.3155,73.12,7.131,19.593,72.0483
0.1098,77.22,0.3416,2067.6,3.4852,80.98,10.858,6.798,7.681
1.5307,51.16,0.2282,2157.8,3.4363,59.14,2.92,8.049,45.6883
1.64,24.37,0.8811,1783.4,3.2729,58.96,5.33,20.366,56.9893
0.3599,67.8,0.9822,1295.3,3.0286,55.1,8.047,33.878,15.2387
0.8959,37.23,0.3953,2396.9,1.8045,72.48,2.588,12.129,23.4673
1.649,65.04,0.8929,1821.1,2.4766,38.07,8.578,22.529,64.8611
0.1271,46.36,0.522,2439.8,2.3245,52.22,3.148,39.263,10.402
1.2941,64.6,0.4491,1601.2,2.2409,49.93,8.52,33.961,44.9284
1.6067,38.07,0.6041,993.1,4.9141,66.24,9.651,36.567,52.5418
1.0747,53.36,0.2065,1993.4,1.5702,28.38,5.09,28.624,31.3399
1.4791,56.73,0.5542,2170.1,2.0271,12.13,11.881,25.618,55.7844
0.5302,64.17,0.3596,2827.9,3.6321,17.53,7.576,25.365,12.2462
0.4772,34.22,0.77,2753.1,2.5627,25.24,9.079,26.043,16.1202
0.7899,87.34,0.6021,925.7,2.2008,82.87,0.247,21.274,16.3391
0.4409,40.24,0.8951,2498.0,2.8669,70.93,1.354,17.622,11.754
0.7575,41.42,0.9173,1375.0,3.5101,73.75,8.538,13.354,18.4861
1.9014,37.94,0.4534,2333.8,4.3717,47.76,11.317,7.286,71.3777
1.1893,24.72,0.4243,1634.9,5.8611,18.74,7.539,17.92,31.2394
0.7461,49.6,0.9513,1508.6,5.2632,49.55,10.954,31.947,20.0985
0.6159,74.03,0.6032,1874.2,3.15,83.35,0.71,24.344,12.2273
1.9089,69.67,0.2772,1967.2,3.2582,53.28,10.7,10.74,74.1672
0.9445,33.69,0.2367,2327.9,3.0786,63.71,10.528,33.497,27.3291
1.9628,29.59,0.9923,2203.3,2.1947,41.81,7.546,6.451,83.8792
1.0795,42.5,0.6633,2292.2,5.7588,22.76,5.154,37.589,28.3915
1.0902,73.78,0.2436,1645.0,1.3433,63.26,8.459,27.813,32.2132
1.8034,54.17,0.609,2290.1,2.0247,51.22,2.927,24.464,69.2057
1.5113,84.62,0.6033,1559.9,4.3099,39.38,8.012,19.441,48.8157
1.2032,65.95,0.5483,2136.6,3.9478,31.97,8.331,33.876,34.1785
0.9106,63.46,0.961,1811.0,2.3932,69.16,6.479,5.237,30.3994
1.7686,73.74,0.959,2038.2,5.6848,37.02,3.121,5.557,62.6996
0.8821,72.52,0.3,838.6,3.0473,58.96,0.025,23.211,16.7889
1.8532,44.07,0.3214,1897.3,3.9813,32.08,2.349,15.397,63.3057
0.2306,37.99,0.526,1283.9,1.4551,74.04,10.005,19.054,15.8329
0.917,50.63,0.8672,1648.8,5.4544,41.87,2.547,23.781,19.459
1.0871,54.25,0.699,962.3,1.515,50.67,0.892,6.532,30.4532
1.9068,29.92,0.7839,2245.2,2.9702,88.84,2.96,39.407,72.5451
0.5769,50.89,0.6608,2765.7,5.4279,71.06,6.23,28.717,11.8153
1.6315,64.79,0.368,1580.1,5.725,72.59,7.035,8.461,52.767
1.3853,29.5,0.8542,1031.1,5.5199,38.84,10.526,30.851,40.8167
1.4625,29.66,0.2112,2164.6,5.138,81.43,10.257,23.652,42.6476
1.2963,32.16,0.7588,1079.5,2.1665,42.79,11.625,29.043,45.1562
1.946,39.83,0.3555,2761.6,1.1593,94.01,10.611,30.82,83.759
0.7321,87.32,0.5769,1069.4,3.259,86.15,5.403,39.698,18.2661
0.8567,21.81,0.9801,1596.1,1.3159,66.03,1.703,9.144,20.6507
0.4855,32.86,0.6312,1888.3,5.8027,80.67,11.469,39.868,13.0831
0.1963,31.55,0.2456,1059.3,1.0409,56.24,2.745,21.69,8.2265
0.5045,53.2,0.543,1501.2,2.6274,72.31,7.465,12.033,17.1003
1.8394,21.06,0.7282,1405.6,2.0165,20.61,3.174,18.076,70.5656
1.6963,52.07,0.2454,2369.3,1.0685,94.03,9.802,17.751,65.2811
0.3136,31.4,0.4021,2969.8,3.4954,78.02,2.409,36.337,6.0118
1.2472,38.87,0.2147,1598.2,1.3802,22.11,5.049,23.35,36.1305
1.0105,75.47,0.6321,2539.6,5.4997,30.62,2.636,7.335,23.6823
1.2299,32.88,0.5052,1108.8,4.4381,58.87,10.327,30.021,31.4084
1.3526,63.2,0.603,2075.8,2.85,74.83,7.433,22.422,44.9552
0.6827,48.44,0.4367,1752.0,5.2078,22.65,7.57,33.511,14.016
1.9266,49.23,0.7254,1434.0,4.9843,91.65,3.774,6.626,69.0327
0.9851,77.18,0.3385,2607.8,2.6322,39.41,2.118,35.275,26.0203
1.2934,31.26,0.9253,2442.1,5.2361,94.57,10.288,36.25,40.0972
1.3069,84.67,0.9681,1094.8,5.647,73.97,9.175,5.288,38.4851
0.4494,82.54,0.5944,1443.3,4.0995,51.27,8.813,21.692,9.9499
0.2175,66.78,0.5723,2602.9,2.7589,40.83,11.966,9.255,14.8838
0.8819,23.46,0.8877,2983.3,5.5029,18.2,6.714,23.53,19.78
1.5517,66.43,0.4319,2145.4,5.7143,17.47,2.143,8.122,46.9524
1.6489,62.02,0.8425,2717.7,2.7364,63.5,7.314,36.047,64.3182
1.487,74.05,0.4298,2965.3,1.4315,75.75,3.448,11.427,54.4859
0.3151,34.97,0.776,2429.2,5.3391,87.14,6.155,28.387,5.8185
1.8354,86.73,0.4672,2218.4,4.324,41.02,5.512,27.875,66.9336
1.6239,82.03,0.6821,1286.7,2.16,89.7,6.762,16.229,60.546
1.7676,28.0,0.9407,1614.9,3.8346,35.23,11.057,12.506,63.8487
1.0943,42.06,0.2435,2171.8,2.541,89.89,9.722,37.033,33.0156
1.8397,22.27,0.8458,2838.1,5.5959,88.1,4.982,6.393,65.8216
0.1886,78.17,0.6335,1464.1,2.7106,23.17,9.808,13.894,14.5239
0.1575,84.06,0.5033,1669.5,1.9813,83.17,10.326,16.435,14.7435
0.1384,89.29,0.4802,848.9,1.216,69.81,9.288,25.446,13.5268
0.5803,62.83,0.2555,2332.8,2.7126,69.71,6.617,17.922,16.0118
0.5723,66.62,0.4067,1775.9,5.9472,81.44,10.792,8.898,15.0209
0.4563,67.49,0.6985,2555.0,2.0917,55.62,5.904,24.962,18.4029
1.1774,59.91,0.2781,1314.0,3.2903,53.08,1.271,30.343,29.8612
0.1741,86.67,0.7355,2251.2,5.8605,41.2,3.265,29.667,9.7457
1.2217,62.55,0.9698,2280.8,1.0336,83.55,7.89,22.136,43.5123
0.4154,43.5,0.9846,1821.5,2.4753,86.59,4.55,15.74,14.2848
1.388,55.9,0.9114,1214.9,5.1059,23.65,5.074,5.359,37.9923
0.14,21.31,0.8453,1686.4,1.4787,75.63,4.827,23.648,10.5202
0.6901,70.69,0.3424,2439.1,5.6415,33.42,2.304,26.999,11.6139
1.8828,68.57,0.9761,1216.2,5.1728,25.63,1.122,20.444,66.7736
1.123,49.47,0.3622,998.1,1.7153,26.76,0.589,38.573,29.206
1.642,79.6,0.8952,1818.1,3.9617,58.73,8.07,12.078,56.8595
1.3502,72.89,0.9023,1315.9,3.7775,33.78,3.889,33.494,39.7892
1.2604,43.57,0.6975,2561.2,4.4685,30.59,5.482,30.157,34.9147
0.4634,25.42,0.617,2597.9,2.5342,18.37,11.222,36.476,14.7697
1.1914,29.26,0.3603,2879.6,2.9208,37.6,7.52,37.359,37.2685
0.1754,32.9,0.6156,2647.5,2.204,75.8,9.728,13.285,14.0248
1.6232,41.27,0.4325,2224.4,2.4595,11.84,9.148,37.263,59.7142
1.9241,51.33,0.3007,1211.5,1.8786,51.03,11.445,19.113,81.321
1.7226,84.96,0.3026,2610.6,5.522,61.24,0.802,28.768,56.2363
0.1963,39.49,0.8409,2401.8,5.4371,14.22,4.61,38.351,6.2996
0.7435,82.9,0.9379,2443.1,2.8001,34.99,11.395,25.838,30.4767
0.7042,67.63,0.3135,2334.4,4.4661,87.05,5.573,25.403,12.1475
0.3142,79.74,0.2106,2626.1,3.4514,94.52,11.374,7.48,10.785
1.2906,48.23,0.4109,1455.3,2.4039,82.28,2.218,25.883,39.0816
1.6152,20.23,0.3076,2279.4,2.748,24.42,0.723,13.439,50.17
0.6961,75.09,0.3509,1938.1,5.8258,74.95,10.746,18.589,17.4418
1.7393,37.18,0.6667,1543.3,2.7073,48.32,4.935,18.225,64.0507
1.6145,29.97,0.5378,1519.0,3.8933,24.5,6.099,39.067,55.0068
0.3454,75.96,0.5434,1142.0,5.7255,50.88,11.235,27.323,9.7706
1.557,68.04,0.3645,1881.4,2.488,88.44,2.633,30.374,52.544
1.777,34.87,0.7317,1611.2,5.0447,84.57,11.618,11.047,64.2337
0.4748,38.73,0.4316,1727.3,1.5704,43.28,4.759,15.65,15.0773
1.1899,85.75,0.5193,2673.7,4.6667,15.38,2.969,35.711,29.8312
1.3136,38.8,0.5707,2299.3,5.0334,86.55,2.804,9.208,34.1625
1.2577,69.17,0.9235,2296.5,5.1872,93.83,6.221,38.359,37.9167
0.2829,29.07,0.3971,2964.9,5.8753,53.47,5.604,19.959,8.0743
1.3563,77.05,0.7749,1279.2,4.5547,29.15,10.633,18.648,42.0979
1.3007,28.23,0.4475,1917.4,5.8861,56.22,0.61,23.012,33.5033
1.6654,56.12,0.9155,1003.5,2.3918,69.18,0.528,20.514,57.4273
1.6267,22.47,0.5153,1664.1,3.6078,50.99,1.833,21.469,50.7889
0.7216,58.51,0.6041,2890.8,2.0704,39.97,7.268,19.84,22.7898
1.4719,79.26,0.9018,989.0,1.4176,31.06,9.376,29.562,53.8624
1.7478,25.91,0.7382,2467.0,3.1947,35.23,5.758,14.67,63.2196
1.7966,39.2,0.2755,2704.0,4.5984,14.23,7.365,10.827,61.8138
0.4069,73.53,0.3095,1919.7,4.8922,31.68,7.711,20.209,8.2549
0.1507,62.57,0.9926,2554.7,1.0849,91.02,0.232,8.09,10.6668
1.3365,41.9,0.2233,1770.3,5.7111,10.69,2.955,20.658,37.2028
0.5079,64.02,0.4407,1577.4,2.2362,71.83,11.973,22.302,21.2491
1.171,51.83,0.9671,1912.6,2.461,77.06,3.969,32.452,36.1986
1.8951,80.36,0.2121,1228.4,5.1621,44.4,11.36,8.817,70.9651
0.8207,40.51,0.3291,1476.5,5.4711,60.6,5.907,18.891,16.1815
0.5803,73.04,0.3707,1471.8,4.6822,28.78,2.671,32.319,9.9041
0.9674,64.5,0.2691,2974.5,2.6641,66.78,0.029,16.839,22.0322
1.3488,71.83,0.5776,1537.4,3.3142,70.17,2.611,34.268,39.4266
0.2921,46.48,0.674,1303.5,5.173,72.44,3.858,30.144,4.8308
0.8231,70.74,0.4547,2867.5,2.7865,51.8,5.272,6.46,23.2956
0.3541,68.89,0.2869,1104.9,5.0265,92.49,5.366,18.485,4.2863
1.3586,47.12,0.8488,2924.8,4.91,83.64,6.58,31.823,41.8439
1.678,21.85,0.8436,2677.3,3.3434,58.66,5.69,23.429,57.4329
0.816,87.4,0.6497,2223.5,5.4828,68.0,0.394,28.551,16.9488
0.8063,69.95,0.3102,1741.2,2.9226,33.36,3.204,39.651,19.5049
1.1251,34.33,0.6335,1233.9,4.7496,90.21,11.544,28.634,30.242
0.5086,71.16,0.7036,1033.6,4.1987,64.84,0.329,24.112,5.1383
0.5701,39.51,0.5426,1028.1,2.6563,86.07,8.809,34.614,17.9373
0.7267,52.85,0.8911,1568.1,3.6589,34.53,5.716,20.057,15.7535
0.9691,80.19,0.512,1695.7,4.0302,93.5,8.483,5.365,24.7055
0.2549,51.37,0.6087,2832.2,3.6841,18.96,3.99,14.537,7.662
1.5302,40.16,0.2913,1979.7,1.5536,55.08,4.442,25.815,53.0908
1.2002,41.38,0.6508,2979.4,5.9573,19.39,6.201,38.189,34.9335
0.6694,25.39,0.8132,2386.0,5.833,26.13,10.916,26.25,18.2046
0.2473,35.37,0.785,1121.8,1.1874,74.95,3.941,14.93,8.8944
1.55,38.98,0.4056,2017.8,5.7214,15.62,1.03,39.762,46.1132
0.3491,32.11,0.9935,1150.6,3.6574,42.53,0.459,19.005,1.9687
0.3531,24.41,0.7759,886.2,1.6285,26.29,10.579,12.973,16.748
0.3483,52.61,0.539,2876.3,5.1028,82.27,3.765,24.352,4.7175
0.2544,35.01,0.5319,1543.3,3.1648,17.0,1.434,17.042,4.3519
1.8221,71.71,0.8235,1217.1,4.566,38.61,7.157,8.905,63.5392
0.6116,84.58,0.3405,1023.9,5.1361,82.78,10.139,29.947,14.792
0.6822,39.11,0.7117,2234.7,3.6902,68.39,7.195,29.201,14.5216
1.6823,60.06,0.7751,1814.5,1.2483,69.78,1.821,39.027,62.4058
1.2779,55.47,0.6131,825.7,5.1124,94.25,4.869,9.789,31.9005
0.4556,25.26,0.8986,2373.4,4.4702,11.99,3.198,36.869,5.0555
0.9261,28.74,0.5749,1364.7,5.5507,66.51,0.199,32.901,15.0347
1.7795,81.93,0.5719,2517.2,2.3507,73.32,11.588,13.858,74.1412
0.8132,53.19,0.4277,1874.9,4.9259,73.59,5.511,21.775,15.7838
1.4507,76.32,0.9355,1978.3,5.3656,70.69,1.617,27.055,45.2027
0.2839,24.66,0.453,1805.8,2.7753,16.14,10.619,16.023,11.7237
1.4819,61.64,0.7562,2287.2,3.0509,17.13,11.822,8.764,52.9349
1.5753,80.57,0.5275,2978.1,2.6699,75.69,9.792,34.298,59.5958
1.669,80.69,0.9483,2555.3,1.0286,62.0,3.044,10.764,66.375
1.381,20.4,0.9584,952.0,2.1578,32.33,2.287,22.175,44.9055
0.8044,56.52,0.224,1888.6,2.6577,10.79,6.301,20.32,21.5811
0.222,45.83,0.9956,1315.4,1.542,55.34,7.002,36.606,14.8672
1.0857,73.2,0.6839,1025.3,4.8278,17.69,10.541,24.563,27.1621
1.5392,25.13,0.2591,1229.4,3.1348,73.61,11.607,19.854,50.9982
0.4626,38.54,0.5976,1345.9,3.8411,38.96,10.925,39.188,13.3204
0.6059,76.88,0.2396,2911.4,2.423,78.64,4.105,17.339,15.4626
1.1186,52.87,0.6391,2438.7,2.8017,18.12,7.027,30.427,33.2934
1.5218,51.72,0.3484,2676.5,4.7669,51.99,1.486,13.188,42.817
1.8035,87.8,0.4944,2337.4,3.3491,18.48,6.227,31.503,68.1388
0.3389,42.39,0.4438,1494.4,3.9826,76.33,0.849,31.294,5.4879
0.4501,22.92,0.6818,1660.4,3.1134,57.6,1.336,33.985,5.5268
1.6191,47.45,0.8579,1769.5,3.7852,29.95,1.463,21.965,51.5663
1.3246,30.74,0.9492,1445.5,5.4868,91.84,3.617,12.775,36.2748
1.4698,25.73,0.4631,1727.2,2.337,67.97,3.716,27.119,46.6107
1.9939,59.75,0.6558,2496.6,3.5953,38.59,8.46,36.858,80.9539
1.8844,86.75,0.2047,966.5,4.4361,82.7,0.912,15.844,63.9825
1.7017,60.56,0.4977,1408.5,1.4339,42.3,1.334,5.706,62.7445
1.5765,65.3,0.9686,1853.9,5.81,90.11,7.876,11.475,53.7455
0.8505,42.65,0.2951,2287.7,3.4938,35.25,8.073,37.652,18.7547
1.3183,59.98,0.8959,2221.0,2.2267,93.67,8.525,5.212,47.7986
0.4504,72.66,0.722,2395.0,4.8022,15.31,8.642,6.885,14.0092
1.543,61.25,0.4351,1031.6,5.0779,72.44,7.955,8.442,47.0394
1.5396,76.19,0.8225,1197.7,4.1531,34.77,6.631,36.214,46.7847
1.4705,58.53,0.4314,1479.8,5.5808,46.03,8.896,18.416,47.3984
0.9451,33.87,0.9159,1419.7,1.4446,64.08,0.978,29.206,24.6269
0.8185,60.79,0.2662,2462.3,3.638,13.9,2.542,29.706,17.6776
0.8976,54.37,0.2952,2985.3,4.7145,29.0,8.897,20.19,20.2264
0.1633,31.62,0.8,2302.9,5.5841,18.84,2.311,30.633,4.1981
1.7042,63.34,0.5593,872.7,4.2072,72.87,6.369,21.143,56.204
1.1305,77.19,0.318,1454.7,4.0116,28.81,3.124,23.965,28.0414
0.8363,29.46,0.6107,2566.7,2.9411,52.36,5.175,15.738,22.9556
1.1413,58.15,0.4376,2833.5,3.8581,37.92,10.01,5.068,29.1469
1.4711,71.36,0.6395,2108.8,3.774,30.07,7.928,25.766,46.8708
0.8248,48.21,0.795,1567.4,5.5251,89.49,5.342,14.297,20.0942
1.6782,38.9,0.8855,1581.3,5.1355,53.14,3.282,14.631,53.6082
1.847,46.06,0.2472,2193.6,4.686,65.29,9.66,35.758,65.2573
0.8361,57.92,0.6739,2701.2,5.6189,69.87,7.884,17.665,21.7135
0.3619,68.07,0.9869,1549.8,1.3308,79.8,5.279,8.582,16.1926
1.5447,59.14,0.5678,1219.5,4.8481,32.37,10.431,27.063,49.1241
1.9866,27.49,0.8157,806.1,3.3181,16.68,8.31,23.845,78.1674
0.3812,77.25,0.2778,1102.4,4.759,49.72,11.767,7.015,7.91
1.4541,84.67,0.8988,2672.6,2.4809,24.45,7.973,17.212,55.5049
1.6681,27.09,0.6656,2174.1,3.3367,11.74,10.799,26.392,60.0235
1.8491,37.47,0.9106,2979.4,5.123,88.17,6.605,14.79,67.6881
0.3344,32.16,0.8297,952.8,1.1759,63.26,8.52,39.515,14.4621
0.2744,79.44,0.8954,1605.2,2.4556,45.22,10.109,32.964,16.8917
1.977,83.72,0.2458,2550.6,3.4423,21.6,1.085,22.647,75.8898
0.3218,23.1,0.7724,2254.7,5.2575,74.71,5.691,37.044,7.206
0.4359,43.27,0.3576,946.7,2.3502,55.31,7.267,6.216,13.5841
1.1924,33.47,0.4126,1683.2,5.1154,24.82,0.693,12.859,25.826
0.9479,52.87,0.4598,2202.8,2.2227,93.49,9.471,37.019,30.4169
1.5257,84.51,0.6731,2313.1,2.5158,90.82,8.587,22.805,58.5952
0.4621,24.91,0.7023,1793.7,3.7691,88.81,11.235,10.957,11.9563
1.8374,31.99,0.9452,1214.0,4.2695,80.27,4.464,24.953,66.5577
0.5127,54.09,0.2102,2925.0,5.4003,55.18,5.63,30.558,11.1275
1.5613,56.68,0.3548,1826.3,5.3973,35.54,10.943,26.12,50.9927
0.2284,72.19,0.4896,2378.2,2.2508,65.4,4.938,6.606,12.6016
0.9995,50.64,0.8544,1976.6,4.728,22.86,10.012,6.286,26.4973
0.1619,29.88,0.6399,977.5,4.175,62.43,5.057,19.248,4.4099
0.6962,44.75,0.6096,1320.7,2.9307,15.62,4.053,5.569,16.035
0.6932,88.75,0.8081,938.7,4.8802,11.15,3.327,7.943,10.346
1.4675,72.55,0.724,1219.7,5.4876,70.82,2.562,27.49,40.8234
0.9645,28.14,0.4319,1240.4,3.396,39.13,5.177,20.346,22.8555
